DateTime,S&P 500 Index,Open-to-Close Return,DateTime,Navigator 1,,,
2016-07-18 00:00:00,4,691999999999999,0,"1,8E+016",2016-07-18 00:00:00,,
2016-07-25 00:00:00,7,147999999999999,0,3E+016,2016-07-25 00:00:00,,
2016-08-01 00:00:00,5,51,0,4800000000000002,2016-08-01 00:00:00,,
2016-08-08 00:00:00,4,618,0,"3,8E+016",2016-08-08 00:00:00,,
2016-08-15 00:00:00,6,388,0,"1,4E+016",2016-08-15 00:00:00,,
2016-08-22 00:00:00,6,598000000000001,0,"5,8E+016",2016-08-22 00:00:00,,
2016-08-29 00:00:00,6,725,0,5,2016-08-29 00:00:00,,
2016-09-05 00:00:00,7,494,0,"1,6E+016",2016-09-05 00:00:00,,
2016-09-12 00:00:00,10,738000000000001,0,148,2016-09-12 00:00:00,,
2016-09-19 00:00:00,7,2780000000000005,0,2400000000000001,2016-09-19 00:00:00,,
2016-09-26 00:00:00,8,97,0,"1,24E+016",2016-09-26 00:00:00,,
2016-10-03 00:00:00,7,766,0,118,2016-10-03 00:00:00,,
2016-10-10 00:00:00,8,488,0,"3,08E+016",2016-10-10 00:00:00,,
2016-10-17 00:00:00,6,1,0,68,2016-10-17 00:00:00,,
2016-10-24 00:00:00,8,15,0,2375,2016-10-24 00:00:00,,
2016-10-31 00:00:00,7,296000000000001,0,382,2016-10-31 00:00:00,,
2016-11-07 00:00:00,12,850000000000003,0,6900000000000001,2016-11-07 00:00:00,,
2016-11-14 00:00:00,5,206,0,"1,28E+016",2016-11-14 00:00:00,,
2016-11-21 00:00:00,4,165,0,"2,975E+016",2016-11-21 00:00:00,,
2016-11-28 00:00:00,6,72,0,166,2016-11-28 00:00:00,,
2016-12-05 00:00:00,5,7059999999999995,0,4820000000000001,2016-12-05 00:00:00,,
2016-12-12 00:00:00,8,129999999999999,0,8000000000000002,2016-12-12 00:00:00,,
2016-12-19 00:00:00,3,832,0,"3,2E+016",2016-12-19 00:00:00,,
2016-12-26 00:00:00,6,874999999999995,0,33,2016-12-26 00:00:00,,
2017-01-02 00:00:00,6,3875,0,2425,2017-01-02 00:00:00,,
2017-01-09 00:00:00,6,468000000000001,0,"2,2E+016",2017-01-09 00:00:00,,
2017-01-16 00:00:00,5,335,0,65,2017-01-16 00:00:00,,
2017-01-23 00:00:00,4,24,0,"1,14E+016",2017-01-23 00:00:00,,
2017-01-30 00:00:00,6,5840000000000005,0,"5,2E+016",2017-01-30 00:00:00,,
2017-02-06 00:00:00,3,836,0,132,2017-02-06 00:00:00,,
2017-02-13 00:00:00,4,494000000000001,0,312,2017-02-13 00:00:00,,
2017-02-20 00:00:00,4,83,0,"1,975E+016",2017-02-20 00:00:00,,
2017-02-27 00:00:00,4,709999999999999,0,5600000000000001,2017-02-27 00:00:00,,
2017-03-06 00:00:00,5,6240000000000006,0,6,2017-03-06 00:00:00,,
2017-03-13 00:00:00,4,826,0,1E+016,2017-03-13 00:00:00,,
2017-03-20 00:00:00,8,143333333333333,0,"1,96666666666667E+016",2017-03-20 00:00:00,,
